RecordId,MAK,PropertyAddress,Suite,City,State,ZipCode,ZipCodePlus4,Latitude,Longitude,FIPSCode,APN,CensusKey,CensusKeyDecennial,CountyLandUseDescription,TotalAssessedValue,AssessmentYear,LotSizeOrArea,LotSizeAreaUnit,SalesPriceFromAssessment,YearBuilt,TotalNumberOfRooms,NumberOfBedrooms,NumberOfBaths,NumberOfPartialBaths,NumberOfStories,NumberOfBuildings,NumberOfUnits,GarageTypeParking,GarageParkingNumberOfCars,HasDeck,DeckArea,HasGuestHouse,GuestHouseArea,PoolType,PoolArea,AirConditioning,HasFireplace,FireplaceCount,HasBasement,HasElevator,HasSecurityAlarm,HasSprinklers
1,3741162745,1 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583731,-117.627760,06059,780-042-01,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",725106,2023,5254.0000000,SF,470000,1999,0,5,3.00,0,,0,0,999,2,N,0,N,0,502,0,,N,0,,,N,N
2,3608430713,21 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583487,-117.628512,06059,780-042-06,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",469329,2023,3964.0000000,SF,318000,2000,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
3,1403507612,27 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583288,-117.628996,06059,780-042-09,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",398270,2023,5637.0000000,SF,529000,2000,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
4,3588122628,29 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583109,-117.628924,06059,780-042-10,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",495921,2023,4382.0000000,SF,336000,2000,0,5,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
5,3329620175,35 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.582743,-117.628957,06059,780-042-13,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",468527,2023,4235.0000000,SF,323500,2000,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
6,1291063081,43 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.582237,-117.629196,06059,780-042-17,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",706275,2023,10552.0000000,SF,450500,2000,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
7,6785780718,36 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.582649,-117.628444,06059,780-042-19,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",615305,2023,5814.0000000,SF,418000,2000,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
8,4227851679,10 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.582803,-117.628086,06059,780-042-27,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",544521,2023,8587.0000000,SF,369000,1999,0,4,3.00,0,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
9,2132014077,43 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.582736,-117.627468,06059,780-042-31,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",973114,2023,4559.0000000,SF,710000,1999,0,4,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
10,6848969162,21 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581939,-117.628873,06059,780-042-42,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",751724,2023,4091.0000000,SF,540000,1999,0,3,2.00,1,,0,0,999,2,N,0,N,0,,0,,N,0,,,N,N
11,3714839149,12 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581145,-117.628928,06059,780-042-50,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",646014,2023,8225.0000000,SF,437500,1999,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
12,9934670984,5 Caladium,,Rancho Santa Margarita,CA,92688,8739,33.581533,-117.628471,06059,780-042-55,060590320654006,060590320654006,"SINGLE FAMILY RESIDENTIAL",814364,2023,4801.0000000,SF,585000,1999,0,3,3.00,0,,0,0,999,3,N,0,N,0,,0,,N,0,,,N,N
