RecordId,MAK,PropertyAddress,Suite,ZipCodePlus4,Latitude,Longitude,APN,CensusKey,CountyLandUseDescription,TotalAssessedValue,LotSizeOrArea,SalesPriceFromAssessment,YearBuilt,NumberOfBedrooms,NumberOfBaths,NumberOfPartialBaths,GarageTypeParking,GarageParkingNumberOfCars,PoolType
1,3741162745,1 Acanthus,,8750,33.583731,-117.62776,780-042-01,60590320654006,SINGLE FAMILY RESIDENTIAL,725106,5254.0,470000,1999,5,3.0,0,Type Not Specified,2,Pool w/Hot Tub/Spa
2,3608430713,21 Acanthus,,8750,33.583487,-117.628512,780-042-06,60590320654006,SINGLE FAMILY RESIDENTIAL,469329,3964.0,318000,2000,3,2.0,1,Type Not Specified,2,No Pool
3,1403507612,27 Acanthus,,8750,33.583288,-117.628996,780-042-09,60590320654006,SINGLE FAMILY RESIDENTIAL,398270,5637.0,529000,2000,3,2.0,1,Type Not Specified,2,No Pool
4,3588122628,29 Acanthus,,8750,33.583109,-117.628924,780-042-10,60590320654006,SINGLE FAMILY RESIDENTIAL,495921,4382.0,336000,2000,5,3.0,0,Type Not Specified,2,No Pool
5,3329620175,35 Acanthus,,8750,33.582743,-117.628957,780-042-13,60590320654006,SINGLE FAMILY RESIDENTIAL,468527,4235.0,323500,2000,3,2.0,1,Type Not Specified,2,No Pool
6,1291063081,43 Acanthus,,8750,33.582237,-117.629196,780-042-17,60590320654006,SINGLE FAMILY RESIDENTIAL,706275,10552.0,450500,2000,4,3.0,0,Type Not Specified,2,No Pool
7,6785780718,36 Acanthus,,8750,33.582649,-117.628444,780-042-19,60590320654006,SINGLE FAMILY RESIDENTIAL,615305,5814.0,418000,2000,3,3.0,0,Type Not Specified,3,No Pool
8,4227851679,10 Acanthus,,8750,33.582803,-117.628086,780-042-27,60590320654006,SINGLE FAMILY RESIDENTIAL,544521,8587.0,369000,1999,4,3.0,0,Type Not Specified,2,No Pool
9,2132014077,43 Bel Flora,,8738,33.582736,-117.627468,780-042-31,60590320654006,SINGLE FAMILY RESIDENTIAL,973114,4559.0,710000,1999,4,2.0,1,Type Not Specified,2,No Pool
10,6848969162,21 Bel Flora,,8738,33.581939,-117.628873,780-042-42,60590320654006,SINGLE FAMILY RESIDENTIAL,751724,4091.0,540000,1999,3,2.0,1,Type Not Specified,2,No Pool
11,3714839149,12 Bel Flora,,8738,33.581145,-117.628928,780-042-50,60590320654006,SINGLE FAMILY RESIDENTIAL,646014,8225.0,437500,1999,3,3.0,0,Type Not Specified,3,No Pool
12,9934670984,5 Caladium,,8739,33.581533,-117.628471,780-042-55,60590320654006,SINGLE FAMILY RESIDENTIAL,814364,4801.0,585000,1999,3,3.0,0,Type Not Specified,3,No Pool
13,6539838343,36 Bel Flora,,8738,33.582175,-117.627542,780-042-67,60590320654006,SINGLE FAMILY RESIDENTIAL,1103864,5891.0,830000,1999,4,3.0,0,Type Not Specified,2,No Pool
14,4416186200,28 Crystalaire,,8717,33.58141,-117.626536,780-043-20,60590320654006,SINGLE FAMILY RESIDENTIAL,847273,5934.0,620000,1998,3,2.0,1,Type Not Specified,2,No Pool
15,9680844113,41 Edelweiss,,8714,33.581533,-117.626031,780-043-23,60590320654006,SINGLE FAMILY RESIDENTIAL,746589,7006.0,489500,2000,3,3.0,0,Type Not Specified,3,Pool w/Hot Tub/Spa
16,1088715341,39 Edelweiss,,8714,33.581364,-117.626086,780-043-24,60590320654006,SINGLE FAMILY RESIDENTIAL,680709,5668.0,470000,1998,4,3.0,0,Type Not Specified,2,No Pool
17,2177127846,33 Edelweiss,,8714,33.580996,-117.626281,780-043-27,60590320654006,SINGLE FAMILY RESIDENTIAL,1084291,5037.0,842000,2000,5,3.0,0,Type Not Specified,2,Spa/Hot Tub (only)
18,2015058996,19 Edelweiss,,8714,33.580735,-117.627122,780-043-33,60590320654006,SINGLE FAMILY RESIDENTIAL,541275,4540.0,366500,1999,3,2.0,1,Type Not Specified,2,No Pool
19,1203708022,6 Edelweiss,,8743,33.580457,-117.628085,780-043-39,60590320654006,SINGLE FAMILY RESIDENTIAL,600221,5579.0,406500,1999,3,3.0,0,Type Not Specified,3,No Pool
20,4753417097,12 Edelweiss,,8743,33.580392,-117.627659,780-043-42,60590320654006,SINGLE FAMILY RESIDENTIAL,859571,4378.0,629000,1999,3,2.0,1,Type Not Specified,2,No Pool
21,8359137169,14 Edelweiss,,8743,33.580372,-117.627516,780-043-43,60590320654006,SINGLE FAMILY RESIDENTIAL,612038,5091.0,414500,1999,3,3.0,0,Type Not Specified,3,No Pool
22,2214173265,18 Edelweiss,,8743,33.580283,-117.627224,780-043-45,60590320654006,SINGLE FAMILY RESIDENTIAL,1069697,6513.0,975000,1999,3,3.0,0,Type Not Specified,3,Pool w/Hot Tub/Spa
23,4328953741,1 Freesia,,8745,33.580433,-117.626527,780-043-49,60590320654006,SINGLE FAMILY RESIDENTIAL,536857,5184.0,361500,1999,4,3.0,0,Type Not Specified,2,No Pool
24,3450194927,6 Freesia,,8745,33.58047,-117.625831,780-043-54,60590320654006,SINGLE FAMILY RESIDENTIAL,661970,7796.0,425000,1999,3,3.0,0,Type Not Specified,3,Pool w/Hot Tub/Spa
25,6136200468,38 Edelweiss,,8744,33.581107,-117.625637,780-043-60,60590320654006,SINGLE FAMILY RESIDENTIAL,678349,6233.0,438000,2000,5,3.0,0,Type Not Specified,2,Pool w/Hot Tub/Spa
26,5084218605,40 Edelweiss,,8744,33.581252,-117.625562,780-043-61,60590320654006,SINGLE FAMILY RESIDENTIAL,598277,5547.0,396000,2000,4,2.0,1,Type Not Specified,2,No Pool
27,7841548647,26 Wildemere,,5527,33.593431,-117.622746,780-051-06,60590320653005,SINGLE FAMILY RESIDENTIAL,924447,4730.0,690000,1996,4,2.0,1,Type Not Specified,2,No Pool
28,3269312532,34 Wildemere,,5527,33.592871,-117.622776,780-051-10,60590320653005,SINGLE FAMILY RESIDENTIAL,332913,3950.0,206000,1996,4,2.0,1,Type Not Specified,2,No Pool
29,2015438584,38 Wildemere,,5527,33.592608,-117.622878,780-051-12,60590320653005,SINGLE FAMILY RESIDENTIAL,384264,3950.0,222000,1996,3,2.0,1,Type Not Specified,2,Pool w/Hot Tub/Spa
30,5041489430,44 Wildemere,,5527,33.592202,-117.622991,780-051-15,60590320653005,SINGLE FAMILY RESIDENTIAL,626684,4080.0,439000,1996,3,2.0,1,Type Not Specified,2,No Pool
31,9631336244,44 Woodsong,,5519,33.59389,-117.623385,780-051-29,60590320653005,SINGLE FAMILY RESIDENTIAL,608018,4400.0,433000,1996,3,2.0,1,Type Not Specified,2,No Pool
32,1404053707,62 Woodsong,,5519,33.592663,-117.623706,780-051-38,60590320653005,SINGLE FAMILY RESIDENTIAL,338443,5400.0,216500,1996,3,3.0,0,Type Not Specified,2,No Pool
33,7472373278,61 Woodsong,,5518,33.592834,-117.624162,780-051-39,60590320653005,SINGLE FAMILY RESIDENTIAL,542453,3600.0,360000,1996,4,2.0,1,Type Not Specified,2,No Pool
34,5235297322,57 Woodsong,,5518,33.593092,-117.624043,780-051-41,60590320653005,SINGLE FAMILY RESIDENTIAL,580504,3700.0,385500,1996,4,2.0,1,Type Not Specified,2,No Pool
35,4578706509,30 Wayfaire,,5500,33.592809,-117.624561,780-051-61,60590320653005,SINGLE FAMILY RESIDENTIAL,558024,4235.0,393000,1995,3,3.0,0,Type Not Specified,2,No Pool
36,4657488720,37 Wayfaire,,5500,33.592347,-117.625012,780-051-64,60590320653005,SINGLE FAMILY RESIDENTIAL,809009,3600.0,592000,1995,3,3.0,0,Type Not Specified,2,No Pool
37,2644249175,29 Wayfaire,,5500,33.592899,-117.624952,780-051-68,60590320653005,SINGLE FAMILY RESIDENTIAL,463455,4212.0,320000,1995,3,3.0,0,Type Not Specified,2,No Pool
38,4978452695,27 Wayfaire,,5500,33.593029,-117.624881,780-051-69,60590320653005,SINGLE FAMILY RESIDENTIAL,729749,3900.0,534000,1995,4,2.0,1,Type Not Specified,2,No Pool
