RecordID,MAK,DocumentTypeCode,PropertyAddress,Suite,City,State,ZipCode,ZipCodePlus4,Latitude,Longitude,FIPSCode,APN,CensusKey,RecordingDate,SalesPrice
1,3741162745,DTGD,1 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583731,-117.627760,06059,780-042-01,060590320654006,05-16-2002,470000
2,6697949726,DTGD,17 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583575,-117.628216,06059,780-042-04,060590320654006,03-10-2000,340000
3,3407940195,DTTD,19 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583527,-117.628369,06059,780-042-05,060590320654006,04-28-2003,490000
4,3608430713,DTGD,21 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583487,-117.628512,06059,780-042-06,060590320654006,06-26-2000,318000
5,4172257256,DTGD,16 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583242,-117.628089,06059,780-042-24,060590320654006,02-22-2000,358000
6,3346787192,DTGD,14 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.583089,-117.628072,06059,780-042-25,060590320654006,02-25-2000,397000
7,8157104415,DTGD,12 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.582963,-117.628070,06059,780-042-26,060590320654006,04-19-2000,376000
8,4227851679,DTGD,10 Acanthus,,Rancho Santa Margarita,CA,92688,8750,33.582803,-117.628086,06059,780-042-27,060590320654006,02-24-2000,369000
9,6848969162,DTGD,21 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581939,-117.628873,06059,780-042-42,060590320654006,11-12-2002,540000
10,2079847431,DTGD,19 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581952,-117.629155,06059,780-042-43,060590320654006,08-25-1999,365000
11,7655616146,DTGD,1 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581831,-117.629243,06059,780-042-44,060590320654006,10-21-2002,540000
12,6428814405,DTGD,2 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581699,-117.629245,06059,780-042-45,060590320654006,08-31-1999,358000
13,9989014464,DTGD,10 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581180,-117.629310,06059,780-042-49,060590320654006,09-10-1999,409500
14,3714839149,DTGD,12 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581145,-117.628928,06059,780-042-50,060590320654006,09-08-1999,437500
15,9528951481,DTGD,14 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581293,-117.628892,06059,780-042-51,060590320654006,09-17-1999,371000
16,8984155312,DTGD,16 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581413,-117.628885,06059,780-042-52,060590320654006,09-09-1999,387500
17,9849848774,DTGD,18 Bel Flora,,Rancho Santa Margarita,CA,92688,8738,33.581570,-117.628829,06059,780-042-53,060590320654006,09-14-1999,392000
18,7922804774,DTTD,1 Caladium,,Rancho Santa Margarita,CA,92688,8739,33.581678,-117.628519,06059,780-042-54,060590320654006,01-16-2008,850000
19,8599261003,DTGD,11 Caladium,,Rancho Santa Margarita,CA,92688,8739,33.581171,-117.628553,06059,780-042-58,060590320654006,08-05-1999,326000
20,2650834195,DTGD,15 Caladium,,Rancho Santa Margarita,CA,92688,8739,33.581027,-117.628535,06059,780-042-59,060590320654006,07-24-2023,1695000
21,6001126921,DTGD,2 Caladium,,Rancho Santa Margarita,CA,92688,8739,33.581840,-117.628100,06059,780-042-63,060590320654006,02-03-2014,900000
22,1340138232,DTGD,21 Crystalaire,,Rancho Santa Margarita,CA,92688,8717,33.581952,-117.626931,06059,780-043-04,060590320654006,04-30-2003,640000
23,7378161375,DTGD,19 Crystalaire,,Rancho Santa Margarita,CA,92688,8717,33.581965,-117.627113,06059,780-043-05,060590320654006,03-12-1999,411000
24,2361591083,DTGD,17 Crystalaire,,Rancho Santa Margarita,CA,92688,8717,33.581818,-117.627247,06059,780-043-06,060590320654006,03-05-1999,362500
25,6753138545,DTGD,15 Crystalaire,,Rancho Santa Margarita,CA,92688,8717,33.581711,-117.627335,06059,780-043-07,060590320654006,03-23-1999,374000
26,3561392074,DTGD,11 Crystalaire,,Rancho Santa Margarita,CA,92688,8716,33.581614,-117.627423,06059,780-043-08,060590320654006,04-13-1999,335500
27,8367406981,DTGD,1 Crystalaire,,Rancho Santa Margarita,CA,92688,8716,33.581129,-117.627684,06059,780-043-12,060590320654006,08-07-2003,618000
28,9482885652,DTGD,2 Crystalaire,,Rancho Santa Margarita,CA,92688,8716,33.581133,-117.626811,06059,780-043-13,060590320654006,03-26-1999,353000
29,2066736261,DTGD,21 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.580711,-117.626973,06059,780-043-32,060590320654006,03-13-2015,840000
30,2015058996,DTGD,19 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.580735,-117.627122,06059,780-043-33,060590320654006,11-30-1999,366500
31,1062857528,DTGD,17 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.580755,-117.627296,06059,780-043-34,060590320654006,11-05-1999,432000
32,1609097212,DTGD,15 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.580783,-117.627479,06059,780-043-35,060590320654006,11-30-1999,410500
33,8100511583,DTGD,11 Edelweiss,,Rancho Santa Margarita,CA,92688,8714,33.580814,-117.627669,06059,780-043-36,060590320654006,03-31-2000,350000
34,5826158921,DTGD,2 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580484,-117.628411,06059,780-043-37,060590320654006,10-29-1999,489000
35,5436651938,DTGD,10 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580428,-117.627800,06059,780-043-41,060590320654006,12-30-2020,1040000
36,4753417097,DTGD,12 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580392,-117.627659,06059,780-043-42,060590320654006,10-26-1999,325000
37,8359137169,DTGD,14 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580372,-117.627516,06059,780-043-43,060590320654006,11-12-1999,414500
38,1247302038,DTGD,16 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580320,-117.627370,06059,780-043-44,060590320654006,11-10-1999,371000
39,2214173265,DTGD,18 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580283,-117.627224,06059,780-043-45,060590320654006,11-17-1999,439000
40,8710508370,DTGD,20 Edelweiss,,Rancho Santa Margarita,CA,92688,8743,33.580215,-117.627068,06059,780-043-46,060590320654006,11-23-1999,420500
41,4328953741,DTGD,1 Freesia,,Rancho Santa Margarita,CA,92688,8745,33.580433,-117.626527,06059,780-043-49,060590320654006,10-08-1999,361500
42,7066166094,DTGD,2 Freesia,,Rancho Santa Margarita,CA,92688,8745,33.580636,-117.626130,06059,780-043-56,060590320654006,01-11-2001,400000
43,3291045892,DTGD,16 Wildemere,,Rancho Santa Margarita,CA,92688,5527,33.594212,-117.623158,06059,780-051-01,060590320653005,09-26-1996,188500
44,1528508755,DTGD,18 Wildemere,,Rancho Santa Margarita,CA,92688,5527,33.594082,-117.623038,06059,780-051-02,060590320653005,05-09-2013,645500
45,7432416556,DTGD,20 Wildemere,,Rancho Santa Margarita,CA,92688,5527,33.593929,-117.622938,06059,780-051-03,060590320653005,03-03-2020,815000
46,4534405320,DTGD,10 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593858,-117.624170,06059,780-051-53,060590320653005,12-28-1995,201500
47,8776364275,DTGD,12 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593729,-117.624222,06059,780-051-54,060590320653005,12-26-1995,216500
48,9536555953,DTGD,16 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593599,-117.624251,06059,780-051-55,060590320653005,03-29-1996,187000
49,6256071821,DTGD,18 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593466,-117.624316,06059,780-051-56,060590320653005,03-11-1996,213000
50,2917480507,DTGD,20 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593334,-117.624355,06059,780-051-57,060590320653005,06-28-1996,175000
51,2045752818,DTGD,19 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593558,-117.624692,06059,780-051-73,060590320653005,12-29-1995,180000
52,1091071444,DTGD,17 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593684,-117.624633,06059,780-051-74,060590320653005,04-27-1999,336500
53,9076842551,DTGD,15 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593818,-117.624590,06059,780-051-75,060590320653005,01-31-1996,184000
54,6227349558,DTGD,11 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.593946,-117.624536,06059,780-051-76,060590320653005,06-18-2004,739000
55,1157162927,DTGD,1 Wayfaire,,Rancho Santa Margarita,CA,92688,5500,33.594477,-117.624334,06059,780-051-80,060590320653005,10-07-1997,221500
56,3561675216,DTGD,10 Wildemere,,Rancho Santa Margarita,CA,92688,5558,33.594552,-117.623818,06059,780-051-83,060590320653005,12-10-1999,272000
57,1314509353,DTGD,12 Wildemere,,Rancho Santa Margarita,CA,92688,5558,33.594511,-117.623661,06059,780-051-84,060590320653005,08-15-1997,270000
58,4106497659,DTGD,14 Wildemere,,Rancho Santa Margarita,CA,92688,5558,33.594445,-117.623511,06059,780-051-85,060590320653005,08-27-1997,226500
59,6137780172,DTGD,21 Meadowood,,Rancho Santa Margarita,CA,92688,5593,33.596052,-117.621685,06059,780-061-01,060590320653002,08-21-1996,255000
60,6572710577,DTGD,17 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.594263,-117.621606,06059,780-062-09,060590320653001,03-13-1996,250000
61,3593984404,DTGD,15 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.594420,-117.621397,06059,780-062-10,060590320653001,02-06-2017,930000
62,1935540351,DTGD,11 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.594578,-117.621243,06059,780-062-11,060590320653001,07-19-1996,276500
63,8298501783,DTGD,1 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.595131,-117.620742,06059,780-062-18,060590320653001,06-11-1996,255000
64,5733915170,DTGD,10 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.594478,-117.620791,06059,780-062-19,060590320653001,04-19-1996,290500
65,4663017624,DTGD,12 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.594295,-117.620916,06059,780-062-20,060590320653001,03-28-1996,276000
66,5429228193,DTGD,14 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.594128,-117.621037,06059,780-062-21,060590320653001,08-17-2009,730000
67,9851631671,DTGD,16 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.593984,-117.621230,06059,780-062-22,060590320653001,03-18-2009,740000
68,1316422237,DTGD,18 Cloverdale,,Rancho Santa Margarita,CA,92688,5507,33.593877,-117.621454,06059,780-062-23,060590320653001,08-31-1999,469000
69,5517969674,DTGD,1 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.595994,-117.623144,06059,780-064-13,060590320653001,03-27-1997,266500
70,7584449347,DTGD,2 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.596117,-117.623377,06059,780-064-14,060590320653001,08-11-2022,1140000
71,7866577975,DTGD,10 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.595587,-117.623763,06059,780-064-18,060590320653001,07-24-2018,855000
72,9027975781,DTGD,12 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.595412,-117.623773,06059,780-064-19,060590320653001,06-02-2022,1285000
73,4431351482,DTGD,14 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.595261,-117.623649,06059,780-064-20,060590320653001,02-27-1997,246000
74,7182799373,DTGD,16 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.595176,-117.623484,06059,780-064-21,060590320653001,11-06-2009,590000
75,2585992168,DTGD,18 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.595081,-117.623334,06059,780-064-22,060590320653001,10-24-2005,835000
76,2615713449,DTGD,20 Castletree,,Rancho Santa Margarita,CA,92688,5550,33.594986,-117.623189,06059,780-064-23,060590320653001,03-26-1997,237000
77,5776194086,DTGD,19 Meadowood,,Rancho Santa Margarita,CA,92688,5521,33.596462,-117.621502,06059,780-071-07,060590320653001,02-21-1997,250000
78,9676968191,DTGD,17 Meadowood,,Rancho Santa Margarita,CA,92688,5521,33.596641,-117.621396,06059,780-071-08,060590320653001,01-07-2022,1550000
79,7007754144,DTGD,15 Meadowood,,Rancho Santa Margarita,CA,92688,5521,33.596805,-117.621331,06059,780-071-09,060590320653001,11-21-1996,267500
80,9853247962,DTGD,11 Meadowood,,Rancho Santa Margarita,CA,92688,5521,33.596954,-117.621253,06059,780-071-10,060590320653001,11-15-1996,301500
81,7163250868,DTGD,1 Meadowood,,Rancho Santa Margarita,CA,92688,5521,33.597690,-117.620924,06059,780-071-15,060590320653001,11-22-1996,303000
82,6925931889,DTGD,2 Meadowood,,Rancho Santa Margarita,CA,92688,5531,33.597662,-117.620717,06059,780-071-16,060590320653001,11-26-1996,278500
83,9943656496,DTGD,20 Woodsong,,Rancho Santa Margarita,CA,92688,5503,33.596964,-117.621805,06059,780-071-21,060590320653001,02-28-1996,215500
84,5123646187,DTGD,18 Woodsong,,Rancho Santa Margarita,CA,92688,5503,33.597106,-117.621770,06059,780-071-22,060590320653001,03-15-1996,220000
85,1175562786,DTGD,16 Woodsong,,Rancho Santa Margarita,CA,92688,5503,33.597247,-117.621719,06059,780-071-23,060590320653001,05-09-1996,224000
86,8877149928,DTGD,12 Woodsong,,Rancho Santa Margarita,CA,92688,5503,33.597390,-117.621689,06059,780-071-24,060590320653001,03-31-1999,372500
87,1053728893,DTGD,10 Woodsong,,Rancho Santa Margarita,CA,92688,5503,33.597556,-117.621675,06059,780-071-25,060590320653001,04-30-1996,230000
88,3292062076,DTGD,2 Woodsong,,Rancho Santa Margarita,CA,92688,5503,33.597970,-117.621475,06059,780-071-28,060590320653001,05-06-1996,252500
89,7739659825,DTGD,11 Woodsong,,Rancho Santa Margarita,CA,92688,5501,33.597509,-117.622127,06059,780-071-33,060590320653001,04-26-1996,233000
90,4622513345,DTGD,15 Woodsong,,Rancho Santa Margarita,CA,92688,5501,33.597350,-117.622140,06059,780-071-34,060590320653001,04-08-2016,825000
91,9464696065,DTGD,17 Woodsong,,Rancho Santa Margarita,CA,92688,5501,33.597196,-117.622183,06059,780-071-35,060590320653001,06-16-1998,310000
92,3411286989,DTGD,19 Woodsong,,Rancho Santa Margarita,CA,92688,5501,33.597054,-117.622233,06059,780-071-36,060590320653001,04-18-1996,226000
93,5407922928,DTGD,18 Greenvale,,Rancho Santa Margarita,CA,92688,5517,33.596736,-117.622702,06059,780-071-40,060590320653001,05-19-2005,845000
94,8406043360,DTGD,16 Greenvale,,Rancho Santa Margarita,CA,92688,5517,33.596904,-117.622679,06059,780-071-41,060590320653001,10-24-2022,1450000
95,2125632465,DTGD,12 Greenvale,,Rancho Santa Margarita,CA,92688,5517,33.597063,-117.622638,06059,780-071-42,060590320653001,10-30-1996,231000
96,8975196678,DTGD,10 Greenvale,,Rancho Santa Margarita,CA,92688,5517,33.597214,-117.622566,06059,780-071-43,060590320653001,06-05-2014,737000
97,5559282168,DTGD,2 Greenvale,,Rancho Santa Margarita,CA,92688,5517,33.597902,-117.622485,06059,780-071-45,060590320653001,07-09-2015,850000
98,1025825554,DTGD,1 Greenvale,,Rancho Santa Margarita,CA,92688,5516,33.597879,-117.622669,06059,780-071-46,060590320653001,08-30-1996,235000
99,5847184059,DTGD,11 Greenvale,,Rancho Santa Margarita,CA,92688,5516,33.597202,-117.623054,06059,780-071-51,060590320653001,08-28-1996,229500
100,3737182485,DTGD,15 Greenvale,,Rancho Santa Margarita,CA,92688,5516,33.597064,-117.623095,06059,780-071-52,060590320653001,05-31-2002,415000
101,6379706978,DTGD,17 Greenvale,,Rancho Santa Margarita,CA,92688,5516,33.596872,-117.623147,06059,780-071-53,060590320653001,05-31-1996,222000
102,9019525837,DTGD,19 Greenvale,,Rancho Santa Margarita,CA,92688,5516,33.596704,-117.623192,06059,780-071-54,060590320653001,07-15-1996,236000
103,5168811360,DTGD,21 Greenvale,,Rancho Santa Margarita,CA,92688,5516,33.596542,-117.623152,06059,780-071-55,060590320653001,05-31-1996,250500
104,9444481998,DTGD,1 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5567,33.588755,-117.625884,06059,780-091-17,060590320653005,12-08-1998,369500
105,7299570795,DTGD,11 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5567,33.588309,-117.626595,06059,780-091-22,060590320653005,12-07-1998,409500
106,4183398160,DTGD,15 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5567,33.588199,-117.626697,06059,780-091-23,060590320653005,03-30-1999,350000
107,8767604978,DTGD,17 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5567,33.588069,-117.626801,06059,780-091-24,060590320653005,12-30-1998,317500
108,8549078304,DTGD,19 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5567,33.587948,-117.626875,06059,780-091-25,060590320653005,12-22-1998,380000
109,9090910059,DTGD,21 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5567,33.587812,-117.626948,06059,780-091-26,060590320653005,06-07-2013,765000
110,5769311425,DTGD,20 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5569,33.587277,-117.625529,06059,780-091-56,060590320653005,09-29-1998,312500
111,1652974513,DTGD,18 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5569,33.587418,-117.625563,06059,780-091-57,060590320653005,09-28-1998,300000
112,6194202317,DTCP,16 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5569,33.587542,-117.625619,06059,780-091-58,060590320653005,12-29-2003,620000
113,1454803160,DTGD,14 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5569,33.587682,-117.625661,06059,780-091-59,060590320653005,03-01-2001,425000
114,6529578079,DTGD,12 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5569,33.587814,-117.625706,06059,780-091-60,060590320653005,10-16-1998,286000
115,6484234166,DTGD,10 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5569,33.587945,-117.625755,06059,780-091-61,060590320653005,10-20-1998,305000
116,9616377798,DTGD,10 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5568,33.588059,-117.626267,06059,780-092-01,060590320653007,10-28-1998,320000
117,3915133374,DTGD,11 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5592,33.587707,-117.626114,06059,780-092-03,060590320653007,08-14-2019,847500
118,5130852747,DTGD,15 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5592,33.587579,-117.626069,06059,780-092-04,060590320653007,10-13-1998,354500
119,2101261763,DTGD,17 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5592,33.587446,-117.626019,06059,780-092-05,060590320653007,10-02-1998,323500
120,1691264538,DTGD,19 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5592,33.587309,-117.625971,06059,780-092-06,060590320653007,09-29-1998,295500
121,3966784416,DTGD,21 Sunnydale Ln,,Rancho Santa Margarita,CA,92688,5592,33.587172,-117.625947,06059,780-092-07,060590320653007,02-24-2004,667000
122,7918733555,DTGD,20 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5568,33.587803,-117.626476,06059,780-092-26,060590320653007,03-02-2012,575000
123,9510501347,DTGD,16 Grassy Knoll Ln,,Rancho Santa Margarita,CA,92688,5568,33.587947,-117.626392,06059,780-092-27,060590320653007,12-16-2011,579000
124,1910288976,DTGD,11 Crestview Dr,,Rancho Santa Margarita,CA,92688,5548,33.592521,-117.621251,06059,780-101-41,060590320653004,06-14-2011,676000
125,9605720019,DTGD,15 Crestview Dr,,Rancho Santa Margarita,CA,92688,5548,33.592341,-117.621263,06059,780-101-42,060590320653004,10-30-2015,950000
126,8278953943,DTGD,17 Crestview Dr,,Rancho Santa Margarita,CA,92688,5548,33.592167,-117.621284,06059,780-101-43,060590320653004,03-11-1997,250000
127,4080672309,DTGD,19 Crestview Dr,,Rancho Santa Margarita,CA,92688,5548,33.591991,-117.621329,06059,780-101-44,060590320653004,05-11-2005,975000
128,9707562875,DTGD,21 Crestview Dr,,Rancho Santa Margarita,CA,92688,5548,33.591824,-117.621373,06059,780-101-45,060590320653004,05-22-1997,291500
